street, house_number, postal_code, city, state
Atha Drive, 2345, 93301, Bakersfield, California
Locust Street, 2858, 34243, Hahira, Georgia
Derek Drive, 3244, 78699, Akron, Ohio
Lyn Ognen Lane, 4556, 32448, Houston, Texas
Wilson Avenue, 5434, 44353, Bryan, Texas
Tenmile, 4322, 34243, Los Angeles, California
Hope Street, 4344, 54636, Portland, Oregon
Dawson Drive, 5656, 78786, Louisville, Kentucky
Sunset Boulevard, 4567, 90210, Beverly Hills, California
Park Avenue, 7890, 10022, New York, New York
Rodeo Drive, 1234, 90212, Beverly Hills, California
Michigan Avenue, 5678, 60611, Chicago, Illinois
Ocean Avenue, 9012, 90401, Santa Monica, California
Elm Street, 789, 54321, Springfield, Ohio
Maple Avenue, 456, 67890, Seattle, Washington
Pine Street, 123, 12345, Denver, Colorado
Cedar Lane, 987, 13579, Phoenix, Arizona
Oak Avenue, 654, 87654, San Francisco, California
Lakeview Drive, 321, 98765, Orlando, Florida
Hillside Road, 789, 54321, Austin, Texas